"STATE","FIPS","AVG_AGE","AVG_AGE_G","AVG_HISPANC2","AVG_WHITE","AVG_BLACK","AVG_OTHER","AVG_MULTI","AVG_INCOME_SCALE","AVG_GENHLTH","AVG_GEN_VGEXCL","AVG_GEN_FRPOOR","AVG_PHYSHLTH7P","AVG_MENTHLTH7P","DIABETES","OVERWT","NOTOVERWT","OBESE","FRUDAY","VEGDAY","FRUVEGDAY","FRUVEGLT1","FRUVEG1PLT3","FRUVEG3PLT5","FRUVEG5PLT7","FRUVEG5P","BMI","PHYSINACT","PHYSACT","PHYSREC","HIGHBP","HIGHCHOL","STROKE","NOWASTHMA","COPD","DEPRESS","FLUSHOT","HIVTEST","DOCTOR","CHECKUP","EVERSMOKE","NOWSMOKE","BINGEDRK","HEAVYDRK","ALWAYSBELT","MSCODE"
"MO","29",47.4795271858,2.61255569812635,0.0342976133907848,0.622737412646337,0.0785313319046135,0.0184543227000232,0.00850490996113782,5.89332095508115,2.56816764298388,0.513121232382735,0.184241331003394,0.219240787733044,0.20062193149021,0.0960048094231122,0.359444807317434,0.338274382939981,0.302280809742587,1.2388507585569,1.82460637675345,3.06694000678153,0.0884856680670569,0.48074369079796,0.290488571130191,0.0930494364609161,0.140282070004794,28.0202178403947,0.328384467669978,0.46012855088029,0.163944987002541,0.32045842058074,0.388101351772677,0.0323705323675682,0.108259423746441,0.0762169081305301,0.213204326878908,0.425669715213656,0.316706140975909,0.794800730635024,0.671484295838624,0.473060252328082,0.220938654620964,0.171796812798096,0.0598714871888887,0.780550569194979,2.183776022972
"MT","30",48.290696369013,2.65522766299374,0.029923410894681,0.879579329831153,0.00459174110518955,0.0617311639551607,0.0144525396968571,5.69769658698278,2.446329438022,0.552727209144024,0.15355603514967,0.21633339967413,0.190539367721286,0.076734522310112,0.373764946362814,0.38015405219363,0.246081001443552,1.38158702210525,1.95561727196485,3.33672142312281,0.0742563198454204,0.442661388391327,0.316471852761949,0.105706083671037,0.166610439001304,27.1610658183466,0.268633132354086,0.553236630792714,0.226200814790579,0.29333201351474,0.356982923618991,0.0320122465328873,0.0862820452787582,0.0647167318655578,0.210862502196686,0.389697187412178,0.313775118504921,0.703681090275312,0.618247052837549,0.458175953098181,0.189921565940104,0.207931273117634,0.0771237291094755,0.74261855539774,2.80811808118081
"NE","31",46.9170118598968,2.58639648263357,0.081039924078819,0.831957265962479,0.0400426879646136,0.0240044250115328,0.0129236859801932,6.00904096786103,2.43722566717404,0.552423626310065,0.139188381904195,0.178394901733549,0.165587229599295,0.0916887227618879,0.364964344144069,0.339559467418417,0.295476188437514,1.36680060769021,1.86216822122419,3.22886712627965,0.0890793125724127,0.455483033556093,0.293940073079303,0.108836658905345,0.161497580792192,27.837902097242,0.288983401061984,0.481143259659327,0.182866247721195,0.302954274162405,0.373662681920889,0.0250666772182518,0.0733097465656602,0.0533977104414268,0.182124279091015,0.451633684282105,0.272668979781463,0.791375689281902,0.616260549407693,0.431691518347327,0.184461498562777,0.199810199097366,0.0678741541956091,0.740947180564151,2.22556390977444
"NV","32",46.4444628089558,2.57722361532115,0.240410909396238,0.552992911345006,0.0750385161964077,0.097896766063501,0.0184645351675385,5.94296635490723,2.54374925323559,0.508458786005652,0.172482830608435,0.208163015790295,0.217691741173729,0.0959704965002428,0.392542820414067,0.343865197832896,0.263554220950846,1.46482590122806,2.0307519739949,3.50313177520283,0.0743235276706102,0.415925010869986,0.320122582999163,0.111463046633456,0.189628878460242,27.4496765128349,0.284581919520142,0.508708525387929,0.227374454388242,0.306130172522863,0.385689334111056,0.0286300980486972,0.0759103979376239,0.066749544104362,0.176280908110685,0.304493564907598,0.406061930866724,0.649619937249635,0.657364069028193,0.420061008414357,0.19372652317581,0.151723873579619,0.070469559871953,0.881495069571009,1.73071324599709
"NH","33",48.1646720723227,2.65026501328837,0.0183120002243452,0.913992139634888,0.00885629891627883,0.0317732976257102,0.0138359488410132,6.42770085253909,2.34350262914701,0.606617144915019,0.125897246816915,0.206112933183637,0.190870455783138,0.0917407595225723,0.359019581067677,0.373244443031288,0.267735975901037,1.49675964440789,2.04100212839576,3.5474555319191,0.0604266487887168,0.401306033258768,0.343240158746052,0.122255281433158,0.195027159206465,27.4568842669651,0.257471647905259,0.538026974160411,0.221674793615444,0.300760110875647,0.367384797153176,0.0226739038907999,0.109552790277077,0.0714918878688422,0.220617756418768,0.416489235189254,0.310311358242362,0.874563972907373,0.717829244441146,0.473813732963661,0.162319938922077,0.16829894597956,0.0649090416745455,0.716928048463829,1.89830508474576
"NJ","34",47.4478271613922,2.62300294452559,0.175824743172515,0.582868971609031,0.122248744432463,0.098552620443113,0.00350405601159596,6.40801240494438,2.48846004590339,0.526120122875903,0.166240842458277,0.205353829385155,0.201657130463086,0.0919387409276727,0.371035083712296,0.365535279324854,0.2632170933525,1.43630864137763,1.90373104665566,3.33131380039108,0.0725629929285348,0.432264737804225,0.328871825291057,0.107168039088717,0.166300443976185,27.2769613239173,0.304207249186751,0.491068140010541,0.211312018511304,0.310570320405151,0.391934369256416,0.0251531328799311,0.0902422098343012,0.0591984788177245,0.138595181043812,0.369511910871791,0.367392459027411,0.813913314846462,0.747686027413951,0.415157659900129,0.15651473520425,0.163171267916674,0.0498075225477794,0.897944941129461,1.9089552238806
"NM","35",46.9936295971005,2.60083314385595,0.432003003454321,0.417776900054733,0.0182980165827164,0.0946544296933619,0.0119504002242087,5.45101239098726,2.6265150028555,0.465774624473605,0.207727184597685,0.225936552909874,0.211795671592141,0.107390164338333,0.371707465095467,0.365185499687753,0.26310703521678,1.3496023093289,1.99388716894986,3.34535653635404,0.0799355121501424,0.42663249439457,0.322735436624703,0.107721523037968,0.170696556830589,27.3934708630636,0.273278499814521,0.532510660460882,0.227281967239963,0.295146297913528,0.36755235891304,0.0247186175490579,0.0922639674070461,0.0590556653626494,0.19542587569199,0.388656551188048,0.355691882610515,0.687697853955181,0.626353187291168,0.445465721116047,0.191096630061004,0.144849601413085,0.0589709865380463,0.895907542575938,1.88176352705411
"NY","36",46.7474958588691,2.5910994226755,0.172602281312123,0.566328583328495,0.136965537610548,0.0882114292172022,0.00971871165185685,5.92603896765216,2.52517508632218,0.51591271845893,0.180584279249592,0.236741412443725,0.2175731078092,0.105838860652715,0.365600223301475,0.380249433268937,0.254150343429585,1.51939789295605,1.93489956723365,3.46230557337648,0.0699838419178613,0.407668587389164,0.332608208316302,0.117622780950501,0.189739362376668,27.3899541297577,0.323138595405152,0.460744857685498,0.191553131029742,0.315462944823699,0.39050111836881,0.0242975936461585,0.0971445961963208,0.0570867883586382,0.160909604199698,0.38193951969043,0.468671006445897,0.813073678274441,0.747927034350063,0.416937345938732,0.166023562286702,0.173803308295856,0.0595244507242781,0.878780594869487,1.53527139662533
"NC","37",46.8237033389597,2.58896771275208,0.0745066051354519,0.665253891995162,0.203474668510207,0.0383984526531073,0.00794228507970486,5.90720768473679,2.57696564428988,0.49821037113465,0.192059007371669,0.218057455370146,0.200435486765945,0.113644247263056,0.373596721780665,0.331080859704198,0.295322418515136,1.24786637756614,1.83847629699904,3.10162277407333,0.0842602044960794,0.461047436912342,0.323907646735441,0.0872754305622264,0.130784711856136,28.1147529442611,0.306136219347179,0.471564098847363,0.186669142516148,0.354865740036313,0.409509556663023,0.0367685740747566,0.0843033780795784,0.0739174058644279,0.186798099734948,0.459669702395862,0.416481316818279,0.73467925563513,0.731999842911175,0.453287088847935,0.202514789971368,0.130342427769665,0.0487804615966292,0.933272241049494,2.07198177676538
"ND","38",46.6950271023335,2.57271027704685,0.0193173949231227,0.886821560016372,0.0118249276029841,0.0600316304900489,0.0104182457926735,6.21869485167189,2.48476363165203,0.539944194737917,0.147009789146695,0.188724372084657,0.160485072674585,0.0891248733531189,0.371942791240407,0.320605231664685,0.307451977094905,1.32525287138012,1.69491664356889,3.02879220469168,0.0959981497522249,0.486649862472157,0.273696028779129,0.100725913513384,0.143655958996485,28.111354556999,0.327159445436266,0.444114648993636,0.161776528412029,0.297314606557368,0.364454005596291,0.0249187485311927,0.0832061272204689,0.047989222567189,0.168212175129776,0.414020026072786,0.261564302438093,0.732940353597072,0.635580621600153,0.463906769061869,0.211975023167652,0.238173683483482,0.0716509187368459,0.690981599283789,2.67317073170732
